rank,player,team,AVG,XBH,GO,AO,GO_AO,GW_RBI,BB_K,P_PA,ISOP,XR,GPA
1,김현수,LG,0.362,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334
2,양의지,두산,0.358,53,95,153,0.62,6,1.13,3.65,0.228,99.0,0.338
3,이정후,넥센,0.355,42,114,132,0.86,4,0.72,3.75,0.122,87.3,0.305
4,박병호,넥센,0.345,63,73,78,0.94,9,0.60,4.12,0.373,114.8,0.385
5,안치홍,KIA,0.342,62,113,164,0.69,15,0.63,3.43,0.221,100.0,0.317
6,전준우,롯데,0.342,71,146,140,1.04,4,0.59,3.78,0.250,115.4,0.328
7,김주찬,KIA,0.340,41,108,128,0.84,8,0.40,3.30,0.179,78.2,0.299
8,최형우,KIA,0.339,60,123,147,0.84,11,0.76,4.06,0.210,110.3,0.324
9,유한준,KT,0.339,42,109,122,0.89,9,0.89,3.86,0.194,83.9,0.316
10,김재환,두산,0.334,81,102,122,0.84,16,0.44,3.83,0.323,128.6,0.347
11,최주환,두산,0.333,71,103,164,0.63,13,0.57,4.17,0.249,113.6,0.324
11,이대호,롯데,0.333,67,130,161,0.81,17,0.57,3.66,0.260,112.0,0.326
13,구자욱,삼성,0.333,51,94,117,0.80,9,0.39,4.05,0.201,94.4,0.310
14,채은성,LG,0.331,63,130,132,0.98,7,0.36,3.74,0.217,99.9,0.308
15,러프,삼성,0.330,69,114,126,0.90,9,0.61,4.12,0.275,117.2,0.340
16,이재원,SK,0.329,41,106,107,0.99,2,0.66,3.98,0.184,79.1,0.311
17,손아섭,롯데,0.329,63,182,91,2.00,9,0.69,3.99,0.217,112.2,0.318
18,박건우,두산,0.326,42,126,140,0.90,11,0.43,3.49,0.148,77.9,0.286
19,허경민,두산,0.324,45,152,153,0.99,8,0.62,3.70,0.136,86.6,0.284
20,박민우,NC,0.324,32,134,97,1.38,2,0.63,3.85,0.114,68.9,0.282
21,나성범,NC,0.318,62,146,107,1.36,12,0.34,3.74,0.200,104.0,0.301
22,민병헌,롯데,0.318,38,117,123,0.95,8,0.51,3.59,0.163,76.4,0.289
23,로맥,SK,0.316,62,97,147,0.66,10,0.59,4.03,0.280,122.3,0.331
24,이형종,LG,0.316,40,112,105,1.07,5,0.38,3.72,0.151,72.0,0.286
25,오재원,두산,0.313,40,119,89,1.34,11,0.34,3.89,0.150,75.2,0.282
26,노수광,SK,0.313,37,133,138,0.96,7,0.56,3.94,0.118,88.7,0.280
27,김재호,두산,0.311,36,81,125,0.65,7,0.68,4.00,0.169,73.7,0.296
28,버나디나,KIA,0.310,48,135,117,1.15,7,0.61,3.75,0.177,96.0,0.300
29,호잉,한화,0.306,79,104,175,0.59,14,0.55,3.88,0.267,106.2,0.309
30,로하스,KT,0.305,74,130,122,1.07,9,0.50,4.06,0.285,119.5,0.322
31,박용택,LG,0.303,54,128,137,0.93,10,0.44,3.90,0.162,80.9,0.279
32,이명기,KIA,0.302,38,162,87,1.86,2,0.63,3.80,0.116,65.9,0.268
33,이원석,삼성,0.301,51,98,139,0.71,5,0.50,4.05,0.192,84.8,0.292
34,김헌곤,삼성,0.300,39,162,131,1.24,4,0.77,3.91,0.123,80.9,0.275
35,박해민,삼성,0.299,49,144,167,0.86,8,0.57,4.10,0.134,91.9,0.270
36,송광민,한화,0.297,42,121,95,1.27,8,0.19,3.59,0.180,62.1,0.267
37,유강남,LG,0.296,52,111,109,1.02,3,0.35,3.76,0.212,65.7,0.285
38,황재균,KT,0.296,69,79,177,0.45,7,0.41,3.96,0.230,95.7,0.293
39,이성열,한화,0.295,56,113,88,1.28,8,0.24,3.90,0.258,86.9,0.294
40,김선빈,KIA,0.295,23,142,120,1.18,3,1.14,3.78,0.078,61.9,0.262
41,신본기,롯데,0.294,40,110,100,1.10,5,0.35,3.72,0.148,62.8,0.271
42,이용규,한화,0.293,16,162,128,1.27,2,0.95,4.03,0.039,70.1,0.254
43,임병욱,넥센,0.293,45,108,74,1.46,3,0.18,3.68,0.175,62.2,0.264
44,강백호,KT,0.290,63,121,132,0.92,3,0.42,4.04,0.233,94.5,0.291
45,김하성,넥센,0.288,51,98,190,0.52,14,0.67,3.94,0.186,83.6,0.280
46,한동민,SK,0.284,72,94,138,0.68,14,0.42,4.21,0.317,104.2,0.315
47,노진혁,NC,0.283,36,108,103,1.05,4,0.36,3.80,0.148,58.3,0.259
48,김민성,넥센,0.283,34,78,143,0.55,3,0.50,4.00,0.131,61.1,0.261
49,오재일,두산,0.279,48,57,121,0.47,6,0.50,3.98,0.259,84.4,0.303
50,오지환,LG,0.278,39,120,125,0.96,6,0.40,4.01,0.118,78.2,0.258
51,김성현,SK,0.277,24,123,138,0.89,8,0.69,3.48,0.080,46.3,0.240
52,윤석민,KT,0.276,41,132,135,0.98,3,0.58,3.78,0.172,65.8,0.264
53,김혜성,넥센,0.270,26,108,89,1.21,2,0.28,3.86,0.098,55.2,0.239
54,강민호,삼성,0.269,36,122,101,1.21,10,0.30,3.68,0.187,65.1,0.263
55,번즈,롯데,0.268,62,96,109,0.88,5,0.25,3.71,0.245,73.8,0.276
56,양석환,LG,0.263,49,100,180,0.56,9,0.30,4.00,0.193,65.9,0.250
57,김상수,삼성,0.263,24,132,114,1.16,5,0.30,3.94,0.099,50.1,0.232
58,박경수,KT,0.262,46,92,120,0.77,7,0.45,4.20,0.210,74.9,0.277
59,스크럭스,NC,0.257,61,102,129,0.79,5,0.38,3.89,0.226,80.4,0.275
60,하주석,한화,0.254,32,145,86,1.69,7,0.22,3.69,0.110,49.5,0.226
61,김동엽,SK,0.252,42,98,112,0.88,10,0.16,3.71,0.228,57.3,0.248
62,최정,SK,0.244,52,63,117,0.54,9,0.45,4.14,0.303,83.2,0.302
